Place,Country,Category,Season,Rating,Google_Maps_Link
Bali Beach,Indonesia,Nature,Summer,4.8,https://maps.google.com/maps?q=Kuta+Beach+Bali+Indonesia
Borobudur Temple,Indonesia,Culture,Spring,4.8,https://maps.google.com/maps?q=Borobudur+Temple+Java+Indonesia
Jakarta Food Street,Indonesia,Culinary,Autumn,4.5,https://maps.google.com/maps?q=Jalan+Sabang+Jakarta+Indonesia
Bromo Volcano,Indonesia,Nature,Winter,4.9,https://maps.google.com/maps?q=Mount+Bromo+East+Java+Indonesia
Ubud Rice Terraces,Indonesia,Nature,Spring,4.7,https://maps.google.com/maps?q=Tegallalang+Rice+Terrace+Ubud+Indonesia
Tanah Lot Temple,Indonesia,Culture,Autumn,4.5,https://maps.google.com/maps?q=Tanah+Lot+Temple+Bali+Indonesia
Rendang Restaurant,Indonesia,Culinary,Summer,4.6,https://maps.google.com/maps?q=Rumah+Makan+Padang+Jakarta+Indonesia
Komodo Island,Indonesia,Nature,Winter,4.8,https://maps.google.com/maps?q=Komodo+National+Park+Indonesia
Yogyakarta Palace,Indonesia,Culture,Summer,4.3,https://maps.google.com/maps?q=Sultan+Palace+Yogyakarta+Indonesia
Malang Coffee House,Indonesia,Culinary,Spring,4.4,https://maps.google.com/maps?q=Ijen+Coffee+House+Malang+Indonesia
Lake Toba,Indonesia,Nature,Autumn,4.6,https://maps.google.com/maps?q=Lake+Toba+North+Sumatra+Indonesia
Prambanan Temple,Indonesia,Culture,Winter,4.7,https://maps.google.com/maps?q=Prambanan+Temple+Yogyakarta+Indonesia
Tokyo Tower,Japan,Culture,Winter,4.7,https://maps.google.com/maps?q=Tokyo+Tower+Japan
Mount Fuji,Japan,Nature,Spring,4.8,https://maps.google.com/maps?q=Mount+Fuji+Japan
Kyoto Garden,Japan,Culture,Spring,4.6,https://maps.google.com/maps?q=Kinkaku-ji+Temple+Kyoto+Japan
Shibuya Crossing,Japan,Culture,Winter,4.3,https://maps.google.com/maps?q=Shibuya+Crossing+Tokyo+Japan
Arashiyama Bamboo,Japan,Nature,Autumn,4.5,https://maps.google.com/maps?q=Arashiyama+Bamboo+Grove+Kyoto+Japan
Nara Deer Park,Japan,Nature,Summer,4.7,https://maps.google.com/maps?q=Nara+Deer+Park+Japan
Osaka Castle,Japan,Culture,Winter,4.4,https://maps.google.com/maps?q=Osaka+Castle+Japan
Tsukiji Fish Market,Japan,Culinary,Spring,4.8,https://maps.google.com/maps?q=Tsukiji+Outer+Market+Tokyo+Japan
Hiroshima Peace Park,Japan,Culture,Spring,4.6,https://maps.google.com/maps?q=Hiroshima+Peace+Memorial+Park+Japan
Ramen Yokocho,Japan,Culinary,Autumn,4.5,https://maps.google.com/maps?q=Ramen+Yokocho+Sapporo+Japan
Nikko Temples,Japan,Culture,Summer,4.5,https://maps.google.com/maps?q=Nikko+Toshogu+Shrine+Japan
Kaiseki Restaurant,Japan,Culinary,Winter,4.9,https://maps.google.com/maps?q=Kikunoi+Kyoto+Japan
Takayama Village,Japan,Culture,Winter,4.5,https://maps.google.com/maps?q=Takayama+Old+Town+Japan
Hakone Hot Springs,Japan,Nature,Spring,4.6,https://maps.google.com/maps?q=Hakone+Hot+Springs+Japan
Paris Cafe,France,Culinary,Autumn,4.5,https://maps.google.com/maps?q=Cafe+de+Flore+Paris+France
Eiffel Tower,France,Culture,Summer,4.6,https://maps.google.com/maps?q=Eiffel+Tower+Paris+France
Loire Valley,France,Nature,Spring,4.6,https://maps.google.com/maps?q=Loire+Valley+Castles+France
Provence Lavender,France,Nature,Summer,4.7,https://maps.google.com/maps?q=Lavender+Fields+Provence+France
Mont Blanc,France,Nature,Winter,4.7,https://maps.google.com/maps?q=Mont+Blanc+Chamonix+France
Bordeaux Vineyards,France,Culinary,Autumn,4.4,https://maps.google.com/maps?q=Bordeaux+Wine+Region+France
Normandy Beaches,France,Culture,Spring,4.5,https://maps.google.com/maps?q=Omaha+Beach+Normandy+France
Champagne Region,France,Culinary,Summer,4.3,https://maps.google.com/maps?q=Reims+Champagne+France
Annecy Lake,France,Nature,Spring,4.7,https://maps.google.com/maps?q=Lake+Annecy+France
Alsace Wine Route,France,Culinary,Autumn,4.6,https://maps.google.com/maps?q=Colmar+Alsace+France
Louvre Museum,France,Culture,Winter,4.8,https://maps.google.com/maps?q=Louvre+Museum+Paris+France
Lyon Gastronomy,France,Culinary,Winter,4.7,https://maps.google.com/maps?q=Bouchons+Lyon+France
Great Wall,China,Culture,Winter,4.4,https://maps.google.com/maps?q=Great+Wall+of+China+Badaling
Forbidden City,China,Culture,Autumn,4.5,https://maps.google.com/maps?q=Forbidden+City+Beijing+China
Temple of Heaven,China,Culture,Spring,4.5,https://maps.google.com/maps?q=Temple+of+Heaven+Beijing+China
Zhangjiajie Park,China,Nature,Autumn,4.7,https://maps.google.com/maps?q=Zhangjiajie+National+Forest+Park+China
Yellow Mountain,China,Nature,Spring,4.8,https://maps.google.com/maps?q=Huangshan+Yellow+Mountain+China
Guilin Li River,China,Nature,Autumn,4.8,https://maps.google.com/maps?q=Li+River+Guilin+China
Terracotta Army,China,Culture,Spring,4.6,https://maps.google.com/maps?q=Terracotta+Army+Xian+China
Jiuzhaigou Valley,China,Nature,Autumn,4.9,https://maps.google.com/maps?q=Jiuzhaigou+Valley+China
Leshan Giant Buddha,China,Culture,Spring,4.4,https://maps.google.com/maps?q=Leshan+Giant+Buddha+China
Mount Emei,China,Culture,Autumn,4.6,https://maps.google.com/maps?q=Mount+Emei+Sichuan+China
Beijing Duck Restaurant,China,Culinary,Winter,4.6,https://maps.google.com/maps?q=Quanjude+Beijing+Duck+China
Sichuan Hot Pot,China,Culinary,Summer,4.5,https://maps.google.com/maps?q=Haidilao+Hot+Pot+Chengdu+China
Santorini,Greece,Nature,Summer,4.7,https://maps.google.com/maps?q=Oia+Santorini+Greece
Mykonos Island,Greece,Nature,Summer,4.6,https://maps.google.com/maps?q=Mykonos+Island+Greece
Crete Island,Greece,Nature,Summer,4.8,https://maps.google.com/maps?q=Heraklion+Crete+Greece
Rhodes Island,Greece,Culture,Summer,4.5,https://maps.google.com/maps?q=Rhodes+Old+Town+Greece
Meteora Monasteries,Greece,Culture,Autumn,4.9,https://maps.google.com/maps?q=Meteora+Monasteries+Greece
Corfu Island,Greece,Nature,Summer,4.5,https://maps.google.com/maps?q=Corfu+Old+Town+Greece
Delphi Ruins,Greece,Culture,Autumn,4.5,https://maps.google.com/maps?q=Delphi+Archaeological+Site+Greece
Zakynthos Blue Caves,Greece,Nature,Summer,4.7,https://maps.google.com/maps?q=Blue+Caves+Zakynthos+Greece
Naxos Island,Greece,Nature,Summer,4.6,https://maps.google.com/maps?q=Naxos+Island+Greece
Paros Island,Greece,Nature,Summer,4.4,https://maps.google.com/maps?q=Parikia+Paros+Greece
Acropolis Museum,Greece,Culture,Spring,4.7,https://maps.google.com/maps?q=Acropolis+Museum+Athens+Greece
Greek Taverna,Greece,Culinary,Winter,4.5,https://maps.google.com/maps?q=Funky+Gourmet+Athens+Greece
Colosseum,Italy,Culture,Autumn,4.6,https://maps.google.com/maps?q=Colosseum+Rome+Italy
Venice Canals,Italy,Culture,Spring,4.7,https://maps.google.com/maps?q=Grand+Canal+Venice+Italy
Tuscany Hills,Italy,Nature,Autumn,4.9,https://maps.google.com/maps?q=Val+d+Orcia+Tuscany+Italy
Amalfi Coast,Italy,Nature,Spring,4.8,https://maps.google.com/maps?q=Amalfi+Coast+Italy
Cinque Terre,Italy,Nature,Summer,4.7,https://maps.google.com/maps?q=Cinque+Terre+Italy
Lake Como,Italy,Nature,Spring,4.8,https://maps.google.com/maps?q=Lake+Como+Italy
Siena Historic Center,Italy,Culture,Summer,4.4,https://maps.google.com/maps?q=Piazza+del+Campo+Siena+Italy
Pompeii Ruins,Italy,Culture,Spring,4.5,https://maps.google.com/maps?q=Pompeii+Archaeological+Park+Italy
Florence Cathedral,Italy,Culture,Autumn,4.7,https://maps.google.com/maps?q=Florence+Cathedral+Italy
Pisa Tower,Italy,Culture,Spring,4.2,https://maps.google.com/maps?q=Leaning+Tower+of+Pisa+Italy
Roman Trattoria,Italy,Culinary,Winter,4.8,https://maps.google.com/maps?q=Da+Enzo+al+29+Rome+Italy
Neapolitan Pizza,Italy,Culinary,Summer,4.9,https://maps.google.com/maps?q=L+Antica+Pizzeria+da+Michele+Naples+Italy
Taj Mahal,India,Culture,Winter,4.9,https://maps.google.com/maps?q=Taj+Mahal+Agra+India
Red Fort,India,Culture,Winter,4.4,https://maps.google.com/maps?q=Red+Fort+Delhi+India
Kerala Backwaters,India,Nature,Winter,4.6,https://maps.google.com/maps?q=Alleppey+Backwaters+Kerala+India
Goa Beaches,India,Nature,Winter,4.4,https://maps.google.com/maps?q=Baga+Beach+Goa+India
Rajasthan Palaces,India,Culture,Winter,4.6,https://maps.google.com/maps?q=City+Palace+Udaipur+India
Hampi Ruins,India,Culture,Winter,4.7,https://maps.google.com/maps?q=Hampi+Ruins+Karnataka+India
Darjeeling Tea Gardens,India,Nature,Spring,4.6,https://maps.google.com/maps?q=Darjeeling+Tea+Gardens+India
Varanasi Ghats,India,Culture,Winter,4.8,https://maps.google.com/maps?q=Dashashwamedh+Ghat+Varanasi+India
Jaipur Pink City,India,Culture,Winter,4.5,https://maps.google.com/maps?q=Hawa+Mahal+Jaipur+Pink+City+India
Rishikesh Yoga,India,Culture,Winter,4.7,https://maps.google.com/maps?q=Rishikesh+Yoga+Capital+India
Himalayan Peaks,India,Nature,Summer,4.8,https://maps.google.com/maps?q=Manali+Himachal+Pradesh+India
Indian Curry House,India,Culinary,Autumn,4.6,https://maps.google.com/maps?q=Karim+Hotel+Delhi+India
Machu Picchu,Peru,Nature,Spring,5.0,https://maps.google.com/maps?q=Machu+Picchu+Peru
Sacred Valley,Peru,Nature,Autumn,4.7,https://maps.google.com/maps?q=Sacred+Valley+Peru
Cusco City,Peru,Culture,Winter,4.4,https://maps.google.com/maps?q=Plaza+de+Armas+Cusco+Peru
Huacachina Oasis,Peru,Nature,Autumn,4.5,https://maps.google.com/maps?q=Huacachina+Oasis+Peru
Paracas Peninsula,Peru,Nature,Spring,4.3,https://maps.google.com/maps?q=Paracas+National+Reserve+Peru
Nazca Lines,Peru,Culture,Summer,4.3,https://maps.google.com/maps?q=Nazca+Lines+Peru
Arequipa City,Peru,Culture,Winter,4.3,https://maps.google.com/maps?q=Plaza+de+Armas+Arequipa+Peru
Iquitos Amazon,Peru,Nature,Spring,4.8,https://maps.google.com/maps?q=Iquitos+Amazon+Peru
Trujillo Colonial City,Peru,Culture,Winter,4.3,https://maps.google.com/maps?q=Trujillo+Historic+Center+Peru
Chachani Volcano,Peru,Nature,Spring,4.4,https://maps.google.com/maps?q=Chachani+Volcano+Peru
Lima Gastronomy,Peru,Culinary,Summer,4.8,https://maps.google.com/maps?q=Central+Restaurant+Lima+Peru
Ceviche Restaurant,Peru,Culinary,Autumn,4.7,https://maps.google.com/maps?q=La+Mar+Cebicheria+Lima+Peru
Madrid Royal Palace,Spain,Culture,Spring,4.6,https://maps.google.com/maps?q=Royal+Palace+Madrid+Spain
Sagrada Familia,Spain,Culture,Summer,4.8,https://maps.google.com/maps?q=Sagrada+Familia+Barcelona+Spain
Prado Museum,Spain,Culture,Autumn,4.7,https://maps.google.com/maps?q=Prado+Museum+Madrid+Spain
Alhambra Granada,Spain,Culture,Winter,4.9,https://maps.google.com/maps?q=Alhambra+Granada+Spain
Camino de Santiago,Spain,Nature,Spring,4.5,https://maps.google.com/maps?q=Santiago+de+Compostela+Spain
Picos de Europa,Spain,Nature,Summer,4.6,https://maps.google.com/maps?q=Picos+de+Europa+National+Park+Spain
Costa Brava,Spain,Nature,Autumn,4.4,https://maps.google.com/maps?q=Costa+Brava+Catalonia+Spain
Canary Islands,Spain,Nature,Winter,4.7,https://maps.google.com/maps?q=Tenerife+Canary+Islands+Spain
Tapas Bar Madrid,Spain,Culinary,Spring,4.5,https://maps.google.com/maps?q=Casa+Botín+Madrid+Spain
Paella Valencia,Spain,Culinary,Summer,4.6,https://maps.google.com/maps?q=La+Pepica+Valencia+Spain
Pintxos San Sebastian,Spain,Culinary,Autumn,4.8,https://maps.google.com/maps?q=Parte+Vieja+San+Sebastian+Spain
Jamón Ibérico,Spain,Culinary,Winter,4.7,https://maps.google.com/maps?q=Museo+del+Jamón+Madrid+Spain
Neuschwanstein Castle,Germany,Culture,Summer,4.6,https://maps.google.com/maps?q=Neuschwanstein+Castle+Germany
Brandenburg Gate,Germany,Culture,Spring,4.5,https://maps.google.com/maps?q=Brandenburg+Gate+Berlin+Germany
Cologne Cathedral,Germany,Culture,Autumn,4.7,https://maps.google.com/maps?q=Cologne+Cathedral+Germany
Heidelberg Castle,Germany,Culture,Winter,4.4,https://maps.google.com/maps?q=Heidelberg+Castle+Germany
Black Forest,Germany,Nature,Spring,4.6,https://maps.google.com/maps?q=Black+Forest+Baden-Württemberg+Germany
Rhine Valley,Germany,Nature,Summer,4.5,https://maps.google.com/maps?q=Rhine+Valley+Germany
Bavarian Alps,Germany,Nature,Autumn,4.8,https://maps.google.com/maps?q=Zugspitze+Bavarian+Alps+Germany
North Sea Coast,Germany,Nature,Winter,4.3,https://maps.google.com/maps?q=Sylt+Island+Germany
Oktoberfest Munich,Germany,Culinary,Autumn,4.7,https://maps.google.com/maps?q=Oktoberfest+Munich+Germany
Berlin Currywurst,Germany,Culinary,Winter,4.2,https://maps.google.com/maps?q=Curry+36+Berlin+Germany
Hofbräuhaus Munich,Germany,Culinary,Summer,4.4,https://maps.google.com/maps?q=Hofbräuhaus+Munich+Germany
Sauerbraten Restaurant,Germany,Culinary,Spring,4.3,https://maps.google.com/maps?q=Brauhaus+Sion+Cologne+Germany
Big Ben London,United Kingdom,Culture,Autumn,4.5,https://maps.google.com/maps?q=Big+Ben+London+UK
Stonehenge,United Kingdom,Culture,Summer,4.3,https://maps.google.com/maps?q=Stonehenge+Wiltshire+UK
Edinburgh Castle,United Kingdom,Culture,Spring,4.6,https://maps.google.com/maps?q=Edinburgh+Castle+Scotland+UK
Tower Bridge,United Kingdom,Culture,Winter,4.4,https://maps.google.com/maps?q=Tower+Bridge+London+UK
Lake District,United Kingdom,Nature,Spring,4.7,https://maps.google.com/maps?q=Lake+District+Cumbria+UK
Scottish Highlands,United Kingdom,Nature,Summer,4.8,https://maps.google.com/maps?q=Isle+of+Skye+Scotland+UK
Cotswolds,United Kingdom,Nature,Autumn,4.6,https://maps.google.com/maps?q=Cotswolds+England+UK
Giant's Causeway,United Kingdom,Nature,Winter,4.5,https://maps.google.com/maps?q=Giant+Causeway+Northern+Ireland+UK
Fish and Chips,United Kingdom,Culinary,Spring,4.2,https://maps.google.com/maps?q=Poppies+Fish+Chips+London+UK
Afternoon Tea,United Kingdom,Culinary,Summer,4.6,https://maps.google.com/maps?q=Fortnum+Mason+London+UK
Scottish Whisky,United Kingdom,Culinary,Autumn,4.7,https://maps.google.com/maps?q=Scotch+Whisky+Experience+Edinburgh+UK
Sunday Roast,United Kingdom,Culinary,Winter,4.4,https://maps.google.com/maps?q=Rules+Restaurant+London+UK
Christ the Redeemer,Brazil,Culture,Summer,4.8,https://maps.google.com/maps?q=Christ+the+Redeemer+Rio+de+Janeiro+Brazil
Sugarloaf Mountain,Brazil,Nature,Autumn,4.7,https://maps.google.com/maps?q=Sugarloaf+Mountain+Rio+Brazil
Copacabana Beach,Brazil,Nature,Winter,4.5,https://maps.google.com/maps?q=Copacabana+Beach+Rio+Brazil
Amazon Rainforest,Brazil,Nature,Spring,4.9,https://maps.google.com/maps?q=Amazon+Rainforest+Manaus+Brazil
Iguazu Falls,Brazil,Nature,Summer,4.8,https://maps.google.com/maps?q=Iguazu+Falls+Brazil
Salvador Historic Center,Brazil,Culture,Autumn,4.6,https://maps.google.com/maps?q=Pelourinho+Salvador+Brazil
